file,QuickTreeNJ,RapidNJ
1347_FAINT.phy,1.963584700,.465414500
1493_Fe-ADH.phy,2.282779100,.531237500
1560_Ferritin.phy,2.524688100,.543162700
1689_FGGY_N.phy,3.411204400,.680182300
1756_FAD_binding_3.phy,3.475785100,.855618100
1849_FG-GAP.phy,3.998725100,.797029100
214_Arena_glycoprot.phy,.106195900,.026261100
304_A1_Propeptide.phy,.157628500,.045670800
401_DDE.phy,.220496200,.054479900
494_Astro_capsid.phy,.303666900,.064701000
608_Gemini_AL2.phy,.415489700,.135437400
777_Gemini_V1.phy,.652091800,.192661800
877_Glu_synthase.phy,.704004200,.204640200
89_Adeno_E3_CR1.phy,.045463800,.027017000
